,CLAVE_MUNICIPIO,MUNICIPIO,CLAVE_ENTIDAD,ENTIDAD,M_LAT,M_LON
132,47,"JITOTOL, CHIAPAS",7,CHIAPAS,17.089429449999997,-92.8458845275677
133,48,"JUÁREZ, CHIAPAS",7,CHIAPAS,17.700662299999998,-93.19789166206073
134,49,"LARRÁINZAR, CHIAPAS",7,CHIAPAS,16.92814815,-92.78708086888817
135,50,"LA LIBERTAD, CHIAPAS",7,CHIAPAS,17.6864165,-91.7210861
136,51,"MAPASTEPEC, CHIAPAS",7,CHIAPAS,15.44688245,-92.91537616620971
137,52,"LAS MARGARITAS, CHIAPAS",7,CHIAPAS,16.3117811,-91.9817243
138,53,"MAZAPA DE MADERO, CHIAPAS",7,CHIAPAS,15.358388049999999,-92.183854684299
139,54,"MAZATÁN, CHIAPAS",7,CHIAPAS,14.88832455,-92.49200080960586
140,55,"METAPA, CHIAPAS",7,CHIAPAS,14.82216055,-92.20076697878491
141,56,"MITONTIC, CHIAPAS",7,CHIAPAS,16.87640215,-92.55918674956975
142,57,"MOTOZINTLA, CHIAPAS",7,CHIAPAS,15.3050827,-92.34880361871575
143,58,"NICOLÁS RUÍZ, CHIAPAS",7,CHIAPAS,16.43677245,-92.59517538385515
144,59,"OCOSINGO, CHIAPAS",7,CHIAPAS,16.6577062,-91.19307899059156
145,60,"OCOTEPEC, CHIAPAS",7,CHIAPAS,17.2264656,-93.17309179268693
146,61,"OCOZOCOAUTLA DE ESPINOSA, CHIAPAS",7,CHIAPAS,16.7931431,-93.45696355337824
147,62,"OSTUACÁN, CHIAPAS",7,CHIAPAS,17.4466356,-93.38768400684435
148,63,"OSUMACINTA, CHIAPAS",7,CHIAPAS,16.896221099999998,-93.09196251977639
149,64,"OXCHUC, CHIAPAS",7,CHIAPAS,16.7963526,-92.30688303395667
150,65,"PALENQUE, CHIAPAS",7,CHIAPAS,17.45316095,-91.81212411848196
151,66,"PANTELHÓ, CHIAPAS",7,CHIAPAS,17.0505058,-92.45543501104524
152,67,"PANTEPEC, CHIAPAS",7,CHIAPAS,17.194414199999997,-93.05246608493754
153,68,"PICHUCALCO, CHIAPAS",7,CHIAPAS,17.510999,-93.1186727
154,69,"PIJIJIAPAN, CHIAPAS",7,CHIAPAS,15.65367405,-93.13662530113218
155,70,"EL PORVENIR, CHIAPAS",7,CHIAPAS,15.457515,-92.280304
156,71,"VILLA COMALTITLÁN, CHIAPAS",7,CHIAPAS,15.170973199999999,-92.61288629080111
157,72,"PUEBLO NUEVO SOLISTAHUACÁN, CHIAPAS",7,CHIAPAS,17.1589043,-92.8979386
158,73,"RAYÓN, CHIAPAS",7,CHIAPAS,17.185199400000002,-92.99892095025339
159,74,"REFORMA, CHIAPAS",7,CHIAPAS,17.8688698,-93.23721929599068
160,75,"LAS ROSAS, CHIAPAS",7,CHIAPAS,16.368788549999998,-92.37814948478999
161,76,"SABANILLA, CHIAPAS",7,CHIAPAS,17.32517825,-92.63430423618313
